Subject,Task,Space,ROI,Threshold,Stat Type,Activated Voxels across Whole Brain (counts),Activated Voxels within ROI (counts),Activated Voxels across Whole Brain (%),Activated Voxels within ROI (%),Activated ROI/WB (%),%Activated ROI/%Activated WB (ratio),Voxels in ROI (counts),Voxels in Whole Brain (counts),Dice Coefficient,Coverage T-map (%),Coverage Z-map (%),Coverage T-map ROI (%),Coverage Z-map ROI (%)
UPN007trial2,lang,Native,Right Heschl,Z=2.35,Z-stat,180044,4290,21.300,49.900,0.500,2.340,8592,841421,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,Native,Whole-brain STG,p<0.05,TFCE,370,41,0.500,0.000,0.000,0.000,53101,62995,0.006,100.000,0.300,100.000,0.100
UPN007trial2,lang,Native,Left STG,p<0.05,TFCE,202,3,0.600,0.000,0.000,0.000,27420,32713,0.007,100.000,0.300,100.000,0.000
UPN007trial2,lang,Native,Right STG,p<0.05,TFCE,168,38,0.500,0.100,0.100,0.200,25681,32984,0.005,100.000,0.200,100.000,0.300
UPN007trial2,lang,Native,Whole-brain Heschl,p<0.05,TFCE,370,210,0.500,1.100,0.300,2.200,18367,62995,0.006,100.000,0.300,100.000,2.400
UPN007trial2,lang,Native,Left Heschl,p<0.05,TFCE,202,210,0.600,2.100,0.600,3.500,9775,32713,0.007,100.000,0.300,100.000,4.200
UPN007trial2,lang,Native,Right Heschl,p<0.05,TFCE,168,0,0.500,0.000,0.000,0.000,8592,32984,0.005,100.000,0.200,0.0,0.000
UPN007trial2,lang,MNI,Whole-brain STG,Z=3.1,Z-stat,9439,2835,3.900,33.300,1.100,8.530,8490,237045,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Left STG,Z=3.1,Z-stat,4221,1430,3.500,34.300,1.200,9.800,4162,118828,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Right STG,Z=3.1,Z-stat,5320,1405,4.300,32.400,1.100,7.530,4328,122875,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Whole-brain Heschl,Z=3.1,Z-stat,9439,1158,3.900,36.000,0.400,9.230,3216,237045,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Left Heschl,Z=3.1,Z-stat,4221,647,3.500,38.600,0.500,11.020,1676,118828,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Right Heschl,Z=3.1,Z-stat,5320,511,4.300,33.100,0.400,7.690,1540,122875,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Whole-brain STG,Z=2.35,Z-stat,22622,3391,9.500,39.900,1.400,4.200,8490,237045,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Left STG,Z=2.35,Z-stat,10499,1676,8.800,40.200,1.400,4.560,4162,118828,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Right STG,Z=2.35,Z-stat,12590,1715,10.200,39.600,1.300,3.880,4328,122875,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Whole-brain Heschl,Z=2.35,Z-stat,22622,1345,9.500,41.800,0.500,4.400,3216,237045,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Left Heschl,Z=2.35,Z-stat,10499,740,8.800,44.100,0.600,5.010,1676,118828,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Right Heschl,Z=2.35,Z-stat,12590,605,10.200,39.200,0.400,3.840,1540,122875,N/A,N/A,N/A,N/A,N/A
UPN007trial2,lang,MNI,Whole-brain STG,p<0.05,TFCE,18,1,0.300,0.000,0.000,0.000,8490,4659,0.003,100.000,0.100,100.000,0.000
UPN007trial2,lang,MNI,Left STG,p<0.05,TFCE,12,0,0.400,0.000,0.000,0.000,4162,2416,0.005,100.000,0.200,0.0,0.000
UPN007trial2,lang,MNI,Right STG,p<0.05,TFCE,6,1,0.200,0.000,0.000,0.000,4328,2351,0.002,100.000,0.100,100.000,0.000
UPN007trial2,lang,MNI,Whole-brain Heschl,p<0.05,TFCE,18,12,0.300,0.300,0.200,1.000,3216,4659,0.003,100.000,0.100,100.000,1.000
UPN007trial2,lang,MNI,Left Heschl,p<0.05,TFCE,12,12,0.400,0.700,0.400,1.750,1676,2416,0.005,100.000,0.200,100.000,1.800
UPN007trial2,lang,MNI,Right Heschl,p<0.05,TFCE,6,0,0.200,0.000,0.000,0.000,1540,2351,0.002,100.000,0.100,0.0,0.000
